Control Unit,Division,Department,Direct Sponsor,2014,2015,2016,,,,
Colleges,CNR College of Natural Resources,CNR Office of the Dean,Robert Wood Johnson Found..,"$162,386 ",,,,,,
Colleges,CNR College of Natural Resources,CNR Office of the Dean,Rockville Institute,"$103,826 ","$125,590 ",,,,,
Colleges,CNR College of Natural Resources,CNR Office of the Dean,Schmidt Family Foundation/11..,"$125,000 ","$450,000 ",,,,,
Colleges,CNR College of Natural Resources,CNR Office of the Dean,Spencer Foundation,"$49,988 ",$0 ,,,,,
Colleges,CNR College of Natural Resources,CNR Office of the Dean,UC Agriculture and Natural Re..,,"$902,888 ",,,,,
Colleges,CNR College of Natural Resources,CNR Office of the Dean,UC Davis,"$41,009 ","$14,775 ",,,,,
Colleges,CNR College of Natural Resources,CNR Office of the Dean,UC Los Angeles,"$35,501 ","$162,602 ",,,,,
Colleges,CNR College of Natural Resources,CNR Office of the Dean,University of South Carolina,"$10,000 ",,,,,,
Colleges,CNR College of Natural Resources,CNR Office of the Dean,USAID Agency for Internation..,,"$1,000,000 ",$0 ,,,,
Colleges,CNR College of Natural Resources,CNR Office of the Dean,USDA Forest Service,"$760,855 ","($25,690)","$291,152 ",,,,
Colleges,CNR College of Natural Resources,CNR Office of the Dean,USDA Pacific Southwest Fore..,"$257,952 ",,"$210,000 ",,,,
Colleges,CNR College of Natural Resources,CNR Office of the Dean,USDI Bureau of Land Manage..,$0 ,"$395,107 ","$1,093 ",,,,
Colleges,CNR College of Natural Resources,CNR Office of the Dean,USDI Geological Survey,$0 ,"$490,108 ",$0 ,,,,
Colleges,CNR College of Natural Resources,CNR Office of the Dean,USDI National Park Service,"$17,625 ","$52,000 ","$50,000 ",,,,
Colleges,CNR College of Natural Resources,CNR Office of the Dean,Westat,,"$123,223 ","($112,327)",,,,
Colleges,CNR College of Natural Resources,Energy & Resources Group,All Power Labs,,,"$323,695 ",,,,
Colleges,CNR College of Natural Resources,Energy & Resources Group,Areva Group,"$282,963 ",,,,,,
Colleges,CNR College of Natural Resources,Energy & Resources Group,Bay Area Air Quality Manage..,,"$60,000 ",,,,,
Colleges,CNR College of Natural Resources,Energy & Resources Group,California Air Resources Board,"$35,000 ",,"$30,000 ",,,,
Colleges,CNR College of Natural Resources,Energy & Resources Group,California High-Speed Rail Au..,,"$209,831 ",,,,,
Colleges,CNR College of Natural Resources,Energy & Resources Group,California Public Utilities Com..,"$450,000 ","$330,000 ",,,,,
Colleges,CNR College of Natural Resources,Energy & Resources Group,EPA Environmental Protection..,"$34,000 ","$34,000 ",,,,,
Colleges,CNR College of Natural Resources,Energy & Resources Group,Forterra NW,,"$6,000 ",,,,,
Colleges,CNR College of Natural Resources,Energy & Resources Group,Harvard University,,,"$125,294 ",,,,
Colleges,CNR College of Natural Resources,Energy & Resources Group,Humanity United,"$77,000 ",$0 ,,,,,
Colleges,CNR College of Natural Resources,Energy & Resources Group,Instituto Mexicano Del Petroleo,,"$134,543 ",,,,,
