Control Unit,Division,Department,Direct Sponsor,FY 2014,UC Report Date

FY 2015,FY 2016
Vice Chancellor - Research,Academic Research Units,Helen Wills Neuroscience Institute,Simons Foundation,"$159,407",$0,"$250,000"
,,,SRI International (incl Sarnoff ..,,,"$31,301"
,,,Stanford University,,,"$31,094"
,,,The Foundation Fighting Blind..,"$400,000",,$0
,,,The Hilda and Preston Davis ..,,$0,
,,,The Kavli Foundation,"$100,000",$0,"$100,000"
,,,UC Davis,"$490,204","$287,605","$383,502"
,,,UC Discovery Grant,,"$124,248",
,,,UC San Diego,"$371,611","$250,993","$175,055"
,,,UC San Francisco,"$567,019","$1,213,051","$439,013"
,,,University of British Columbia,$0,,
,,,University of Illinois,"$99,972",$0,
,,,University of Manchester,,"$18,616",
,,,University of Pennsylvania,$0,$0,
,,,University of Rochester,"($6,129)",,
,,,University of Texas Health Sci..,,,"$16,188"
,,,US-Israel Binational Science ..,,"$40,348",$0
,,,"Washington University, St. Lo..",,"$196,607","$196,920"
,,,Wayne State University,,"$125,101",
,,IEAS Institute of East Asian Studies,Academy of Korean Studies,"$4,238","($5,418)","($14,187)"
,,,American Council of Learned ..,$0,,
,,,Chiang Ching-Kuo Fdn for Int ..,"$10,000","$25,000",
,,,Daesan Foundation,,$0,
,,,DOD National Security Agency,"$89,997","$90,000","$180,000"
,,,DOED US Department of Edu..,"($41,485)","$880,000","$83,449"
,,,Japan Foundation,"$147,458","$150,000","$126,882"
,,,Taipei Economic and Cultural ..,,,"$240,000"
,,,Taiwan Foundation for Democ..,,,"$4,000"
,,,"Taiwan, Government of (Repu..","$50,000",$0,"($169,206)"
,,IGS Institute of Governmental Studies,California Air Resources Board,"$649,264",,$0
,,,Department for International D..,,,"$7,158,823"
,,,"Department of Housing, Count..",,,"$66,620"
,,,Ewing Marion Kauffman Foun..,,,"$100,000"
,,,John D and Catherine T MacA..,$0,,
,,,NSF National Science Founda..,$0,,$0
