Control Unit,Division,Department,Direct Sponsor,FY 2014,UC Report Date

FY 2015,FY 2016
Vice Chancellor - Research,Academic Research Units,SSL Space Sciences Lab,John Templeton Foundation,"$800,750",,
,,,Johns Hopkins University,"$23,521,202",$0,$0
,,,JPL Jet Propulsion Laboratory,"$1,057,586","$505,434","$677,952"
,,,Kyung Hee University,,"$997,035",
,,,Lawrence Livermore National ..,$0,"$139,339",$0
,,,LBNL Lawrence Berkeley Nati..,"$1,860,069","$2,800,498","$4,660,455"
,,,Lisa and Douglas Goldman Fu..,$0,"$50,000",$0
,,,Lockheed (Lockheed-Sanders..,"$15,030","$69,996","$44,951"
,,,"Los Alamos National Security,..",,"$201,982",
,,,NASA National Aeronautics a..,,,"$20,771"
,,,NASA National Aeronautics a..,"$145,134,940","$5,587,935","$5,858,347"
,,,NASA National Aeronautics a..,"$9,983,738","$10,187,933","$11,035,870"
,,,"NOVA Scientific, Inc.","$255,676","$186,605","($30,000)"
,,,NSF National Science Founda..,"$27,169","$1,486,436","$1,208,249"
,,,Oak Ridge National Laboratory,"$151,747",,
,,,Princeton Plasma Physics Lab..,($8),"$113,173",$0
,,,Rutherford Appleton Laboratory,,$0,$0
,,,Science Museum of Minnesota,,,"$74,415"
,,,Sigma Space Corporation,"$28,938",,
,,,Smithsonian Institution,"$1,771,590","$13,039,722","$76,095"
,,,Southwest Research Institute,$0,$0,"$446,134"
,,,Stephen F. Austin State Unive..,"$41,080",,
,,,Tennessee State University,,,$0
,,,The Research Corporation of t..,,"$187,242",$0
,,,UC Los Angeles,$0,"$56,896","$39,698"
,,,UC San Diego,,"$25,000","$20,000"
,,,UC Santa Cruz,"$85,411","$135,632","$60,940"
,,,"UChicago Argonne, LLC","$205,752",,
,,,University Corporation for Atm..,"$147,485",$0,$0
,,,University of Central Florida,"$17,380","$61,379","$35,275"
,,,University of Colorado Boulder,"$8,301,797","$2,204,946","$2,038,943"
,,,University of Colorado System,"$690,632","($93,590)",
,,,University of Delaware,"$224,049",$1,"$114,000"
,,,University of Iowa,,,"$353,858"
,,,University of Michigan,$0,$0,
