Control Unit,Division,Department,Direct Sponsor,FY 2014,UC Report Date

FY 2015,FY 2016
Colleges,College of Chemistry,Chemistry Department,UC MEXUS,,,"$42,156"
,,,UC Santa Cruz,"$88,000","$107,450","$336,395"
,,,University of Almeria,$0,,
,,,University of Central Florida,"$1,100,000","$1,993,000",$0
,,,University of Hamburg,"$150,687",,
,,,University of Minnesota,"$350,000","$775,641","$512,729"
,,,University of Missouri (Colum..,,"$224,125","$190,000"
,,,University of Texas at Austin,,$0,
,,,University of the Basque Coun..,,,"$37,722"
,,,University of Washington,"$273,940","$387,237","$139,555"
,,,Vietnam National University,"$500,000",,$0
,,,Virginia Polytechnic Institute a..,$0,,
,,,WestEd,,,"$24,781"
,,,Yeshiva University (Albert Ein..,,,$0
,,Total,,"$33,137,455","$40,069,085","$31,361,396"
,College of Engineering,Bioengineering,"Addgene, Inc.",$0,$0,$0
,,,Agilent Technologies,,$0,
,,,Brigham and Women's Hospital,"$73,215","$5,052",
,,,"Celsense, Inc.",,$0,
,,,Commission on Higher Educat..,,"$823,844",$0
,,,Coriell Institute for Medical Re..,,,$0
,,,DAF AFOSR Air Force Office ..,"$240,000","$120,000",$0
,,,Dana Foundation,,,"$200,000"
,,,Electronics and Telecommuni..,"$94,073",,
,,,Emory University,,,"$191,962"
,,,Georgia Institute of Technology,"$73,931","$82,278","$82,277"
,,,GlaxoSmithKline (Incl Smith K..,,,$0
,,,Gwangju Institute of Science a..,"$93,378","$90,568","$82,710"
,,,Harvard University,,,$0
,,,Howard Hughes Medical Instit..,"$21,109",$0,
,,,Human Frontier Science Progr..,,,"$100,000"
,,,International Society for Neuro..,,,"$2,500"
,,,Korea University,"$184,349","$176,302","$157,464"
,,,Lankenau Institute for Medical..,,"$280,433",$0
,,,LBNL Lawrence Berkeley Nati..,,"$65,690","$50,790"
