Control Unit,Division,Department,Direct Sponsor,FY 2014,UC Report Date

FY 2015,FY 2016
Vice Chancellor - Research,VC Research Museums & Field
Stations,Essig Museum of Entomology,UC Riverside

University of Washington,$0,$0,
,,,USDI National Park Service,"$6,951",,
,,,William M. Keck Foundation,$0,$0,
,,Gump Research Field Station,NSF National Science Founda..,"$173,485","$24,871",$0
,,MVZ Museum of Vertebrate Zoology,American Vineyard Foundation,$0,,
,,,Community Foundation Servin..,"$3,840",$0,
,,,Council on Library and Inform..,$0,$0,
,,,DOD Naval Facilities Engineer..,,"$10,678",
,,,IMLS Institute of Museum and..,,,"$147,095"
,,,National Geographic Society,$0,"$19,921","$25,000"
,,,NEH National Endowment for ..,,"$2,000",$0
,,,NIH National Institute of Gene..,"$1,095,002","$1,092","($3,672)"
,,,NSF National Science Founda..,$0,"$824,311","$1,453,564"
,,,Society for Study of Evolution,"$2,160",,
,,,UC MEXUS,"$14,842","$11,982",$0
,,,University of New Mexico,"$34,959",$0,$0
,,,USDA Forest Service,,,"$21,000"
,,,USDI Fish and Wildlife Service,"$48,051",,
,,PHMA Phoebe A Hearst Museum of Anthropology,NEH National Endowment for ..,"$400,000",$0,"($45,111)"
,,,UC San Diego,,,"$100,930"
,,,William Randolph Hearst Fou..,$0,,"($118,774)"
,,Research Field Stations and Nature Reserves,Adams Legacy Foundation,,,"$5,000"
,,,California Department of Wate..,"$73,911","$461,245",
,,,California Wildlife Conservatio..,,"$682,000",
,,,Foundation for Youth Investm..,"$22,500",,
,,,National Forest Foundation,,,"$630,000"
,,,Nature Conservancy,,"$15,000",
,,,NSF National Science Founda..,"$4,899,996","$94,047","$25,000"
,,,S.H. Cowell Foundation,"$65,000","$65,000",
,,UC Museum of Paleontology,Alfred P. Sloan Foundation,"$179,267","$301,383",
,,,California Department of Tran..,$0,,
,,,Evolving Earth Foundation,,"$2,660","$2,932"
,,,Gordon and Betty Moore Foun..,$0,$0,
,,,IMLS Institute of Museum and..,,"$149,713","$128,240"
