Control Unit,Division,Department,Direct Sponsor,FY 2014,UC Report Date

FY 2015,FY 2016
Colleges,College of Chemistry,Chemical and Biomolecular Engineering,Alcon Laboratories,$0,,
,,,American Chemical Society,"$100,000",$0,
,,,Amyris Biotechnologies,,"$60,862",$0
,,,"Anderson Remplex, Inc.",,"$100,908",
,,,Baylor College of Medicine,$0,,
,,,"BP Group (BP America, BP E..",,"$1,350,000",
,,,"Ceramatec, Inc.",,$0,
,,,Chevron Corporation,"$425,291",,"$2,400,000"
,,,Continental Automotive Syste..,,,"$164,000"
,,,"Cooper Companies, Inc (incl ..","$38,000",,
,,,DAF AFOSR Air Force Office ..,"$669,519",$0,$0
,,,Deutsche Forschungsgemeins..,"$174,910",,
,,,Device Farm,"$50,000","$29,715",
,,,DOD ONR Office of Naval Re..,$0,"($337,000)",
,,,DOE Department of Energy,"$150,000","$706,000",$0
,,,Dow Chemical Company,$0,"$200,000","$220,009"
,,,Eli Lilly and Company,,"$65,000",
,,,GlaxoSmithKline,,,"$1,810,954"
,,,Harvard University,$0,,
,,,LBNL Lawrence Berkeley Nati..,"$240,268","$141,194","$201,582"
,,,"Lynntech, Inc.",,,"$29,152"
,,,Lyondell Chemical Company,"$169,898",$0,
,,,Max Kade Foundation,,,"$67,500"
,,,MIT Massachusetts Institute o..,$0,,
,,,National Academy of Sciences,,"$30,000",
,,,National Polytechnic Institute ..,,,$0
,,,NIH National Center for Comp..,,,"$2,355,000"
,,,NREL National Renewable En..,,,($1)
,,,NSF National Science Founda..,"$873,180","$443,814","$716,839"
,,,Pacific Northwest National La..,$0,$0,"$567,638"
,,,Robert Bosch North America,"$24,000",$0,
,,,Samsung Electronics Compan..,,"$200,000",
,,,SNL Sandia National Laborato..,"$40,000","$40,000","$25,000"
,,,Stanford University,$0,,
,,,State University of New York,,"$390,000",$0
