Control Unit,Division,Department,Direct Sponsor,FY 2014,UC Report Date

FY 2015,FY 2016
Vice Chancellor - Research,Academic Research Units,Center for African Studies,DOED US Department of Edu..,"($260,377)",,
,,,MasterCard Foundation,$0,$0,$0
,,Center for Child and Youth Policy,DHHS ACF Administration for ..,"$1,094,599",,
,,Center for Integrative Planetary Science,Association of Universities for ..,,$0,"$75,225"
,,,NASA National Aeronautics a..,,$0,"$216,172"
,,,NSF National Science Founda..,$0,"$397,043",
,,Center for Middle Eastern Studies,Aspen Institute,,,"$123,354"
,,,DOED US Department of Edu..,"($125,437)","$1,080,000",$0
,,CIEE California Institute for Energy & Environment,Alstom,,,"$50,000"
,,,California Energy Commission,"$2,892,025","$249,932","$4,000,000"
,,,California Natural Resources ..,,,"$5,000,000"
,,,California Public Utilities Com..,,"$3,300,000",$0
,,,DHHS CDC Centers for Disea..,"$493,636",,$0
,,,DOE Department of Energy,"$1,305,146","($938,875)","$182,832"
,,,EPRI Electric Power Researc..,,,"$42,000"
,,,Food Service Technology Cen..,,"$65,000",
,,,LBNL Lawrence Berkeley Nati..,,,"$250,000"
,,,Pacific Gas and Electric Comp..,"$450,850",$0,
,,,San Diego Gas and Electric C..,,$0,$0
,,CLAS Center for Latin American Studies,DOED US Department of Edu..,"($125,035)",,
,,,National Commission for Scie..,"$311,755","$145,485",
,,,Open Society Institute,"$25,000",,
,,,Tinker Foundation Inc.,,,"$45,000"
,,CSAS Center for South Asian Studies,DOED US Department of Edu..,"($143,717)","$966,360",$0
,,,Institute of International Educa..,,,"$53,500"
,,,King's College London,,"$13,288",$0
,,,"U.S. Embassy in Islamabad, P..","$3,094,886",,
,,,United States-India Education..,,"$189,524",$0
,,,USDS State Department Misc..,$0,,
,,CSEAS Center for Southeast Asian Studies,DOED US Department of Edu..,"($138,294)","$960,040",$0
,,,Ford Foundation,,$0,
,,Data Science Institute,Alfred P. Sloan Foundation,"$1,500,000","$1,512,547",
,,,Gordon and Betty Moore Foun..,"$10,000,000","$1,500,000",
,,,Microsoft Corporation,,,$0
,,,Siemens Corporation,,"$1,250,000","($600,000)"
